Número de identificación del vehículo (VIN),Marca,Modelo,Tipo de vehículo,Año de fabricación,Kilometraje,Estado,Precio de venta,Fecha de adquisición,Estado del vehículo,Imagen,Color
1FMCU0G94EUC12345,Ford,Escape,Turismo,2014,40.000 km,Usado,$14.700,2021-06-14,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/2014_Ford_Escape_Titanium_Front.jpg/320px-2014_Ford_Escape_Titanium_Front.jpg,cian
1FVMU0G94EUC12345,Ford,Escape,Turismo,2014,40.000 km,Usado,$14.700,2021-06-14,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/2014_Ford_Escape_Titanium_Front.jpg/320px-2014_Ford_Escape_Titanium_Front.jpg,naranja
5NPD84LF2JH123456,Hyundai,Elantra,Turismo,2018,55.000 km,Usado,$16.000,2021-07-03,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2018_Hyundai_Elantra_SE_Front.jpg/320px-2018_Hyundai_Elantra_SE_Front.jpg,magenta
5NMV84LF2JH123456,Hyundai,Elantra,Turismo,2018,55.000 km,Usado,$16.000,2021-07-03,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2018_Hyundai_Elantra_SE_Front.jpg/320px-2018_Hyundai_Elantra_SE_Front.jpg,verde
584LF2NVMJH123456,Hyundai,Elantra,Turismo,2018,55.000 km,Usado,$16.000,2021-07-03,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/2018_Hyundai_Elantra_SE_Front.jpg/320px-2018_Hyundai_Elantra_SE_Front.jpg,cian
2HKRM3H70GH123456,Honda,CR-V,Turismo,2016,45.000 km,Usado,$19.300,2021-08-19,Reservado,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f5/2016_Honda_CR-V_EX-L_Front.jpg/320px-2016_Honda_CR-V_EX-L_Front.jpg,magenta
1C4PJLDS3FW123456,Jeep,Cherokee,Turismo,2015,30.000 km,Usado,$17.800,2021-09-05,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/2015_Jeep_Cherokee_Latitude_Front.jpg/320px-2015_Jeep_Cherokee_Latitude_Front.jpg,azul
1HGCP26369A123456,Honda,Accord,Turismo,2009,90.000 km,Usado,$8.900,2021-10-23,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/2009_Honda_Accord_EX-L.jpg/320px-2009_Honda_Accord_EX-L.jpg,rosa
2T3BF4DV0BW123456,Toyota,RAV4,Turismo,2011,70.000 km,Usado,$12.500,2021-11-11,Reservado,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/2011_Toyota_RAV4_Front.jpg/320px-2011_Toyota_RAV4_Front.jpg,verde
1FMZU73K53UA12345,Ford,Explorer,Turismo,2003,85.000 km,Usado,$6.800,2021-12-30,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fb/2003_Ford_Explorer.jpg/320px-2003_Ford_Explorer.jpg,azul
WBA5A5C54FD123456,BMW,5 Series,Turismo,2018,25.000 km,Usado,$32.000,2022-01-16,Disponible,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2d/2018_BMW_5_Series_530i.jpg/320px-2018_BMW_5_Series_530i.jpg,rojo
